site_code,year,month,day,hour,minute,second,datetime,time_decimal,air_sample_container_id,value,value_unc,latitude,longitude,altitude,elevation,intake_height,method,event_number,instrument,analysis_datetime,qcflag
LAC,2014,12,30,21,5,55,12/30/2014 13:05,2014.996929,1/1/3010,439.9,-999.999,34.0216,-118.2891,105,55,50,R,381012,L8,1/28/2015 5:16,...
LAC,2014,12,30,21,5,58,12/30/2014 13:05,2014.996929,1/1/3033,405.66,-999.999,34.2841,-118.4727,442,391,51,R,381022,L8,1/28/2015 8:13,...
LAC,2014,12,30,21,8,47,12/30/2014 13:08,2014.996935,1/1/3084,419.04,-999.999,33.8802,-117.8845,125,75,50,R,381000,L8,1/28/2015 6:37,...
LAC,2015,1,3,21,5,46,1/3/2015 13:05,2015.007888,3/1/3010,424.86,-999.999,34.0216,-118.2891,105,55,50,R,381014,L8,1/28/2015 5:32,...
LAC,2015,1,3,21,5,55,1/3/2015 13:05,2015.007888,3/1/3033,421.59,-999.999,34.2841,-118.4727,442,391,51,R,381024,L8,1/28/2015 8:29,...
LAC,2015,1,3,21,8,46,1/3/2015 13:08,2015.007893,3/1/3084,418.23,-999.999,33.8802,-117.8845,125,75,50,R,381002,L8,1/28/2015 6:53,...
LAC,2015,1,7,21,5,53,1/7/2015 13:05,2015.018847,5/1/3010,432.64,-999.999,34.0216,-118.2891,105,55,50,R,381016,L8,1/28/2015 5:48,...
LAC,2015,1,7,21,5,59,1/7/2015 13:05,2015.018847,5/1/3033,404.12,-999.999,34.2841,-118.4727,442,391,51,R,381026,L8,1/28/2015 8:45,...
LAC,2015,1,7,21,8,34,1/7/2015 13:08,2015.018852,5/1/3084,422.25,-999.999,33.8802,-117.8845,125,75,50,R,381004,L8,1/28/2015 7:09,...
LAC,2015,1,11,21,5,49,1/11/2015 13:05,2015.029806,7/1/3010,427.57,-999.999,34.0216,-118.2891,105,55,50,R,381018,L8,1/28/2015 6:04,...
LAC,2015,1,11,21,6,1,1/11/2015 13:06,2015.029806,7/1/3033,419.5,-999.999,34.2841,-118.4727,442,391,51,R,381028,L8,1/28/2015 9:01,...
LAC,2015,1,11,21,8,44,1/11/2015 13:08,2015.029811,7/1/3084,425.34,-999.999,33.8802,-117.8845,125,75,50,R,381006,L8,1/28/2015 7:25,...
LAC,2015,1,15,21,5,47,1/15/2015 13:05,2015.040764,9/1/3010,415.74,-999.999,34.0216,-118.2891,105,55,50,R,381020,L8,1/28/2015 6:21,...
LAC,2015,1,15,21,5,58,1/15/2015 13:05,2015.040765,9/1/3033,403.19,-999.999,34.2841,-118.4727,442,391,51,R,381030,L8,1/28/2015 9:18,...
LAC,2015,1,15,21,8,35,1/15/2015 13:08,2015.04077,9/1/3084,411.83,-999.999,33.8802,-117.8845,125,75,50,R,381008,L8,1/28/2015 7:41,...
LAC,2015,1,19,21,6,1,1/19/2015 13:06,2015.051724,11/1/3033,437.11,-999.999,34.2841,-118.4727,442,391,51,R,381032,L8,1/28/2015 9:34,...
LAC,2015,1,19,21,8,38,1/19/2015 13:08,2015.051729,11/1/3084,485.85,-999.999,33.8802,-117.8845,125,75,50,R,381010,L8,1/28/2015 7:57,...
LAC,2015,1,25,21,6,1,1/25/2015 13:06,2015.068162,1/1/3041,415.96,-999.999,34.2841,-118.4727,442,391,51,R,382264,L8,2/19/2015 5:43,...
LAC,2015,1,25,21,6,35,1/25/2015 13:06,2015.068163,1/1/3092,404.66,-999.999,33.8802,-117.8845,125,75,50,R,382254,L8,2/18/2015 17:40,...
LAC,2015,1,27,21,5,57,1/27/2015 13:05,2015.073641,3/1/3041,408.68,-999.999,34.2841,-118.4727,442,391,51,R,382266,L8,2/19/2015 5:59,...
LAC,2015,1,27,21,6,43,1/27/2015 13:06,2015.073643,3/1/3092,406.51,-999.999,33.8802,-117.8845,125,75,50,R,382256,L8,2/18/2015 17:56,...
LAC,2015,1,27,21,10,14,1/27/2015 13:10,2015.07365,1/1/3073,418.07,-999.999,34.0216,-118.2891,105,55,50,R,382246,L8,2/19/2015 4:39,...
LAC,2015,1,27,21,10,14,1/27/2015 13:10,2015.07365,3/1/3073,418.14,-999.999,34.0216,-118.2891,105,55,50,R,382248,L8,2/19/2015 4:55,...
LAC,2015,1,31,21,6,1,1/31/2015 13:06,2015.0846,5/1/3041,404.66,-999.999,34.2841,-118.4727,442,391,51,R,382268,L8,2/19/2015 6:15,...
