Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1977,1977,100 g/ha,29668,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1977,1977,t,371593270,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1978,1978,ha,124729562,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1978,1978,100 g/ha,31556,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1978,1978,t,393600005,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1979,1979,ha,123679501,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1979,1979,100 g/ha,33847,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1979,1979,t,418622905,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1980,1980,ha,125776294,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1980,1980,100 g/ha,31534,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1980,1980,t,396623299,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1981,1981,ha,127894969,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1981,1981,100 g/ha,34933,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1981,1981,t,446772427,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1982,1982,ha,124390712,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1982,1982,100 g/ha,36090,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1982,1982,t,448932182,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1983,1983,ha,117848132,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1983,1983,100 g/ha,29452,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1983,1983,t,347081960,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1984,1984,ha,127763898,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1984,1984,100 g/ha,35256,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1984,1984,t,450449905,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1985,1985,ha,130512374,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1985,1985,100 g/ha,37202,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1985,1985,t,485527217,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1986,1986,ha,131803650,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1986,1986,100 g/ha,36279,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1986,1986,t,478176534,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1987,1987,ha,129971991,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1987,1987,100 g/ha,34863,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1987,1987,t,453115706,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1988,1988,ha,130010246,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1988,1988,100 g/ha,31001,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1988,1988,t,403050141,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1989,1989,ha,131782846,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1989,1989,100 g/ha,36186,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1989,1989,t,476874410,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1990,1990,ha,130854680,A,Official figure,
